region,pop_code,Fam,Ind,ind_code,index,1C,CV_Solanum,CV_Sample,batch
NY,FP,FP10,FP10-1,FP101A,1.491,1.93,2.6,2.05,1
NY,FP,FP10,FP10-3,FP103B,1.466,1.90,2.95,2.04,2
NY,FP,FP10,FP10-1,FP101B,1.461,1.89,2.63,2.29,2
NY,FP,FP14,FP14-2C,FP142C,1.459,1.89,2.37,2.08,4
NY,FP,FP14,FP14-1C,FP141C,1.449,1.88,4,3.09,4
NY,FP,FP2,FP2-2,FP22B,1.455,1.88,3.03,2.55,2
NY,FP,FP2,FP2-1C,FP21C,1.454,1.88,3.04,2.62,3
NY,FP,FP2,FP2-1B,FP21B,1.459,1.89,3.21,3.08,4
NY,FP,FP3,FP3-2,FP32A,1.503,1.95,3.38,3.01,1
NY,FP,FP3,FP3-2B,FP32B,1.462,1.89,3.23,2.67,4
NY,FP,FP3,FP3-1B,FP31B,1.448,1.88,3.89,2.86,4
NY,FP,FP5,FP5-2,FP52A,1.513,1.96,3.14,3.34,1
NY,FP,FP5,FP5-1,FP51B,1.487,1.93,3.22,2.78,2
NY,FP,FP5,FP5-2C,FP52C,1.506,1.95,2.74,2.4,3
NY,FP,FP5,FP5-1C,FP51C,1.465,1.90,2.63,2.48,3
NY,FP,FP6,FP6-2,FP62B,1.447,1.87,3.46,2.58,2
NY,FP,FP6,FP6-2C,FP62C,1.466,1.90,3.5,2.71,3
NY,FP,FP6,FP6-1C,FP61C,1.474,1.91,2.24,3.72,3
NY,FP,FP6,FP6-1A,FP61A,1.465,1.90,3,2.34,3
NY,FP,FP7,FP7-1,FP71B,1.44,1.86,3.04,2.66,2
NY,FP,FP7,FP7-1C,FP71C,1.454,1.88,2.98,2.65,3
NY,FP,FP7,FP7-2B,FP72B,1.462,1.89,3.8,3.3,4
NY,FP,FP8,FP8-1,FP81A,1.501,1.94,3.06,2.95,1
NY,FP,FP8,FP8-1C,FP81C,1.465,1.90,3.33,2.81,4
NY,FP,FP8,FP8-1B,FP81B,1.455,1.88,3.6,3.42,4
NY,FP,FP9,FP9-3,FP93A,1.493,1.93,3.08,3.01,1
NY,FP,FP9,FP9-2,FP92A,1.492,1.93,3.04,2.82,1
NY,FP,FP9,FP9-1B,FP91B,1.465,1.90,3.08,2.19,4
VT,HV,HV1,HV1-3,HV13A,1.463,1.89,2.78,2.55,1
VT,HV,HV1,HV1-1,HV11B,1.453,1.88,2.73,2.39,2
VT,HV,HV1,HV1-2C,HV12C,1.458,1.89,4.17,2.92,3
VT,HV,HV11,HV11-2,HV112A,1.471,1.90,2.9,2.12,1
VT,HV,HV11,HV11-2B,HV112B,1.455,1.88,3.42,2.89,4
VT,HV,HV11,HV11-1B,HV111B,1.447,1.87,3.84,3.23,4
VT,HV,HV14,HV14-3A,HV143A,1.468,1.90,2.8,2.85,3
VT,HV,HV14,HV14-2C,HV142C,1.462,1.89,2.89,2.7,3
VT,HV,HV14,HV14-2C,HV142C,1.48,1.92,3.19,3.02,3
VT,HV,HV14,HV14-1B,HV141B,1.461,1.89,2.91,2.43,4
VT,HV,HV18,HV18-2B,HV182B,1.455,1.88,3.17,2.36,4
VT,HV,HV18,HV18-1C,HV181C,1.457,1.89,2.98,2.58,4
VT,HV,HV18,HV18-1B,HV181B,1.443,1.87,4.49,3.43,4
VT,HV,HV19,HV19-2,HV192B,1.46,1.89,2.62,2.12,2
VT,HV,HV19,HV19-2C,HV192C,1.453,1.88,3.13,2.71,4
VT,HV,HV19,HV19-1B,HV191B,1.465,1.90,4.15,3.43,4
VT,HV,HV20,HV20-3,HV203A,1.474,1.91,2.83,2.43,1
VT,HV,HV20,HV20-2,HV202A,1.471,1.90,4.09,3.28,1
VT,HV,HV20,HV20-1,HV201B,1.501,1.94,2.32,1.94,2
VT,HV,HV20,HV20-1C,HV201C,1.47,1.90,3.11,2.82,3
VT,HV,HV21,HV21-1,HV211A,1.44,1.86,2.72,2.45,1
VT,HV,HV21,HV21-1,HV211B,1.451,1.88,4.11,3.66,2
VT,HV,HV21,HV21-2C,HV212C,1.45,1.88,3.06,2.14,3
VT,HV,HV21,HV21-1C,HV211C,1.474,1.91,3.85,2.88,3
VT,HV,HV3,HV3-1,HV31A,1.46,1.89,4.01,3.02,1
VT,HV,HV3,HV3-2B,HV32B,1.442,1.87,3.13,3.03,4
VT,HV,HV3,HV3-1B,HV31B,1.462,1.89,3.65,3.24,4
VT,HV,HV4,HV4-1,HV41B,1.452,1.88,3.27,2.75,2
VT,HV,HV4,HV4-1C,HV41C,1.456,1.89,2.84,2.41,3
VT,HV,HV4,HV4-2B,HV42B,1.451,1.88,2.97,2.97,4
VT,HV,HV8,HV8-1,HV81A,1.477,1.91,3.23,2.79,1
VT,HV,HV8,HV8-2B,HV82B,1.496,1.94,3.45,2.91,4
VT,HV,HV8,HV8-1B,HV81B,1.456,1.89,3.11,2.39,4
NY,JF,JF10,JF10-3,JF103A,1.556,2.02,2.78,3.62,1
NY,JF,JF10,JF10-1,JF101A,1.511,1.96,2.45,2.25,1
NY,JF,JF10,JF10-2,JF102B,1.505,1.95,3.65,3.04,2
NY,JF,JF10,JF10-2B,JF102B,1.472,1.91,2.89,2.52,3
NY,JF,JF11,JF11-2,JF112B,1.516,1.96,3.73,3.17,2
NY,JF,JF11,JF11-1,JF111B,1.529,1.98,2.71,2.26,2
NY,JF,JF11,JF11-2C,JF112C,1.569,2.03,3.4,3.41,3
NY,JF,JF13,JF13-3,JF133A,1.518,1.97,3.06,3,1
NY,JF,JF13,JF13-2,JF132B,1.521,1.97,2.74,2.6,2
NY,JF,JF13,JF13-1C,JF131C,1.54,1.99,2.63,2.9,3
NY,JF,JF14,JF14-2,JF142A,1.506,1.95,3.13,2.8,1
NY,JF,JF14,JF14-2,JF142B,1.526,1.98,3.09,2.96,2
NY,JF,JF14,JF14-1B,JF141B,1.523,1.97,3.06,2.6,4
NY,JF,JF21,JF21-2,JF212A,1.537,1.99,3.65,3.9,1
NY,JF,JF21,JF21-1,JF211A,1.555,2.01,3.04,2.45,1
NY,JF,JF21,JF21-1C,JF211C,1.684,2.18,3.12,4.45,3
NY,JF,JF25,JF25-3,JF253A,1.517,1.96,3.02,2.44,1
NY,JF,JF25,JF25-2B,JF252B,1.504,1.95,4.34,3.41,4
NY,JF,JF25,JF25-1B,JF251B,1.517,1.96,3.4,2.43,4
NY,JF,JF4,JF4-1,JF41A,1.547,2.00,2.89,2.88,1
NY,JF,JF4,JF4-1,JF41B,1.541,2.00,3.02,2.37,2
NY,JF,JF4,JF4-2B,JF42B,1.499,1.94,3.75,2.69,4
NY,JF,JF6,JF6-1,JF61A,1.528,1.98,2.88,2.22,1
NY,JF,JF6,JF6-2C,JF62C,1.521,1.97,2.9,2.54,3
NY,JF,JF6,JF6-1C,JF61C,1.537,1.99,2.74,2.45,3
NY,JF,JF7,JF7-1,JF71A,1.478,1.91,3.49,3.17,1
NY,JF,JF7,JF7-1C,JF71C,1.486,1.92,4.39,2.92,3
NY,JF,JF7,JF7-2B,JF72B,1.496,1.94,2.85,2.44,4
