ind_code,region,pop_code,fam,fam2,index,X1C,CV_Solanum,CV_Sample,batch,ht,stemwid,numcap,numfls,dff,bench,BIOMASS,SLA
CO11-1A,NY,CO,CO11,CO.11,NA,NA,NA,NA,NA,86.5,5.32,12,0,NA,A,10.4,4.308469925
CO11-1B,NY,CO,CO11,CO.11,NA,NA,NA,NA,NA,97.5,5.2,19,0,56,B,17.1,4.89069559
CO11-1C,NY,CO,CO11,CO.11,1.519,1.97,2.74,2.65,3,84.2,4.35,11,0,63,C,6,4.89069559
CO11-2A,NY,CO,CO11,CO.11,NA,NA,NA,NA,NA,77,3.73,5,0,73,A,8.2,5.322227554
CO11-2B,NY,CO,CO11,CO.11,NA,NA,NA,NA,NA,100.02,6.7,3,0,NA,B,11.3,3.414259186
CO11-2C,NY,CO,CO11,CO.11,1.512,1.96,2.72,2.09,3,NA,NA,NA,NA,NA,C,1.8,4.413554557
CO11-3A,NY,CO,CO11,CO.11,NA,NA,NA,NA,NA,89,7.62,0,0,NA,A,6.1,4.468042885
CO12-1A,NY,CO,CO12,CO.12,1.501,1.94,3.1,2.83,1,96,7.9,22,0,63,A,12.2,4.413554557
CO12-1C,NY,CO,CO12,CO.12,NA,NA,NA,NA,NA,68.4,5.1,1,0,NA,C,3.9,5.654866776
CO12-2A,NY,CO,CO12,CO.12,1.485,1.92,2.73,2.44,1,84.8,7.38,2,0,68,A,6.7,5.837281834
CO12-2B,NY,CO,CO12,CO.12,NA,NA,NA,NA,NA,73.2,7.6,1,0,NA,B,3.4,6.462704887
CO12-2C,NY,CO,CO12,CO.12,1.473,1.91,4.01,3.07,3,67,5.62,2,0,NA,C,4,4.89069559
CO13-1A,NY,CO,CO13,CO.13,NA,NA,NA,NA,NA,112.1,7.1,12,0,61,A,16.5,2.783934413
CO13-1B,NY,CO,CO13,CO.13,NA,NA,NA,NA,NA,106.5,6.88,33,0,60,B,22.4,3.015928947
CO13-1C,NY,CO,CO13,CO.13,1.499,1.94,2.73,2.05,3,74.5,5.6,27,2,49,C,10.4,3.692974221
CO13-2A,NY,CO,CO13,CO.13,NA,NA,NA,NA,NA,82,6.7,30,4,53,A,14.6,4.413554557
CO13-2B,NY,CO,CO13,CO.13,1.495,1.94,3.5,2.89,2,113.5,6.27,0,0,63,B,20.6,3.119926497
CO13-2C,NY,CO,CO13,CO.13,NA,NA,NA,NA,NA,83.1,5.37,2,0,NA,C,5.4,3.619114737
CO13-3A,NY,CO,CO13,CO.13,1.514,1.96,3.3,2.56,1,89.7,6.08,33,4,53,A,16.5,4.761993075
CO14-1A,NY,CO,CO14,CO.14,1.527,1.98,3.06,4.03,1,93.8,5.26,43,1,59,A,14.4,3.933820366
CO14-1B,NY,CO,CO14,CO.14,NA,NA,NA,NA,NA,110,8,41,3,53,B,27.1,1.72338797
CO14-1C,NY,CO,CO14,CO.14,1.516,1.96,3.1,3.06,4,58.9,3.73,1,0,NA,C,6.6,4.308469925
