pop	Ind	AnK2_K1	AnK2_K2	AnK3_K3	GenSize	PC1	PC2	PC3	PC4	HybClass_LDjacea	HybClass_LDnigra
FP	FP.14	0.214063	0.785937	0.867783	1.885	-0.911333969	2.884898575	1.505476308	-0.637051149	jacea	jacea
FP	FP.17	0.329722	0.670278	0.892338	NA	0.4285448	4.178484862	0.022101198	0.964989993	BC2_jacea	F2
FP	FP.2	0.223269	0.776731	0.940091	1.883333333	-0.65607228	4.737611708	0.344057572	0.077953136	jacea	F2
FP	FP.3	0.276117	0.723883	0.917568	1.906666667	-0.444941005	4.689047852	1.058000019	0.998516962	BC2_jacea	F2
FP	FP.4	0.287452	0.712548	0.868167	NA	0.020605175	1.854490371	0.718711249	-1.264560931	jacea	F2
FP	FP.6	0.172426	0.827574	0.99998	1.895	-0.192346113	2.643117223	0.967217719	-1.172025604	jacea	F2
HV	HV.1	0.026378	0.973622	0.349703	1.886666667	-2.627479134	0.717633966	1.542030823	0.983300838	jacea	jacea
HV	HV.11	0.067942	0.932058	0.308863	1.883333333	-1.668987608	-0.716610328	0.712622091	-0.283239722	jacea	BC2_jacea
HV	HV.12	0.043212	0.956788	0.00001	NA	-2.74407526	-1.642178048	-0.674728852	2.093682283	jacea	jacea
HV	HV.13	0.100828	0.899172	0.474774	NA	-2.388077985	0.712481366	0.059404646	-1.009986352	jacea	jacea
HV	HV.15	0.096967	0.903033	0.537945	NA	-2.631818878	1.833226321	0.930349003	-0.438649046	jacea	jacea
HV	HV.16	0.295622	0.704378	0.978911	NA	0.197562325	5.606451852	0.721545911	-0.409544765	BC2_jacea	BC1_jacea
HV	HV.18	1.00E-05	0.99999	0.225315	1.88	-3.047429723	-0.392815489	1.679135575	1.200467423	jacea	jacea
HV	HV.2	0.045427	0.954573	0.498074	NA	-1.777034049	0.203173878	0.574047625	-2.458751147	jacea	jacea
HV	HV.20	0.030421	0.969579	0.341049	1.9125	-3.454929466	0.007425077	-0.158911248	-2.657460784	jacea	BC2_jacea
HV	HV.21	0.004188	0.995812	0.012747	1.8825	-5.056072944	-3.901545127	-1.762268159	-3.841253359	jacea	jacea
HV	HV.3	0.023411	0.976589	0.077997	1.883333333	-4.342552638	-1.912395674	-1.175553561	1.526763617	jacea	jacea
HV	HV.4	0.038267	0.961733	0.112241	1.883333333	-5.874827602	-2.726243499	-0.596590708	-0.805021504	jacea	jacea
HV	HV.5	0.160968	0.839032	0.424423	NA	-1.337036382	0.266389006	0.70758938	0.954139193	jacea	BC2_jacea
HV	HV.8	1.00E-05	0.99999	0.00001	1.913333333	-3.671889541	-1.805502935	0.068033003	-2.164124913	jacea	jacea
HV	HV.9	0.005447	0.994553	0.223415	NA	-4.984653222	-0.92483488	-0.982357767	3.096670517	jacea	jacea
JF	JF.01	0.99999	1.00E-05	0.00001	NA	10.6593375	-4.805466052	-3.655159799	-2.795648414	nigra	nigra
JF	JF.08	0.99999	1.00E-05	0.00001	NA	5.659857673	-2.634825246	-2.793765532	-1.586481028	nigra	nigra
JF	JF.11	0.99999	1.00E-05	0.00001	1.99	8.401581548	-4.040078121	-2.912160479	0.56996631	nigra	nigra
JF	JF.21	0.99999	1.00E-05	0.00001	2.06	5.500902151	-3.234744381	-1.853395412	-0.71501053	nigra	nigra
JV	JV.1	0.347594	0.652406	0.698893	1.86	1.089806377	1.027725707	0.15017043	-3.4689841	BC2_jacea	F2
JV	JV.10	0.209341	0.790659	0.865717	1.89	-1.289018541	2.960998014	1.125359766	-1.710276074	jacea	BC2_jacea
JV	JV.11	0.217195	0.782805	0.928037	NA	-0.563048626	3.694857563	-0.475012121	-4.631275895	jacea	F2
JV	JV.12	0.300322	0.699678	0.846364	1.89	-0.218953973	3.784359438	-0.108833038	0.802454479	jacea	BC1_jacea
JV	JV.13	0.291847	0.708153	0.917913	1.9	-0.088468782	3.389267413	-0.023978945	-3.39842784	jacea	F2
JV	JV.15	0.230255	0.769745	0.926727	NA	0.102866684	1.872873513	1.193653368	-0.801721388	jacea	F2
JV	JV.16	0.272174	0.727826	0.964151	NA	0.638123492	3.005922331	0.465595781	-4.848795415	jacea	F2
JV	JV.17	0.307776	0.692224	0.828391	NA	0.077998947	3.882434094	1.19582085	-0.397343769	BC2_jacea	F2
JV	JV.18	0.274907	0.725093	0.81541	NA	0.049253795	0.923727213	0.423215367	-0.74319706	BC2_jacea	F2
JV	JV.2	0.662184	0.337816	0.58492	NA	3.129883516	0.029944504	-2.376073889	-4.624743161	F2	F2
JV	JV.20	0.242941	0.757059	0.953862	NA	-0.934951194	3.31989169	1.13202478	-0.746350799	jacea	F2
JV	JV.3	0.253426	0.746574	0.753907	1.916666667	-0.710233819	3.041626635	1.086550944	-2.97278832	BC2_jacea	F2
JV	JV.4	0.169798	0.830202	0.896615	1.89	-1.301125114	2.924744938	0.990357738	-3.920685819	BC2_jacea	BC2_jacea
JV	JV.5	0.207044	0.792956	0.99998	1.87	-0.808525628	2.599179373	-0.256217965	-3.739914124	jacea	F2
JV	JV.6	0.123298	0.876702	0.99998	1.9	-1.347184862	3.435373997	1.735858596	-4.734470788	jacea	BC2_jacea
JV	JV.7	0.177931	0.822069	0.99998	NA	-1.137148297	3.411015432	0.695883794	-3.510827507	jacea	F2
JV	JV.9	0.347313	0.652687	0.852485	NA	0.293792651	1.130221558	0.082744398	-0.082439272	jacea	F2
LH	LH.1	0.368908	0.631092	0.875049	1.91	1.246364715	5.208004082	-0.43824575	1.211005859	BC1_jacea	F2
LH	LH.10	0.409249	0.590751	0.852556	1.895	1.83178911	4.28307531	-0.207837153	0.033916924	BC2_jacea	F2
LH	LH.12	0.3572	0.6428	0.889423	1.893333	1.258676431	5.330086725	-0.010206518	1.971448119	BC1_jacea	F2
LH	LH.13	0.383349	0.616651	0.828319	1.906666667	0.923243489	2.819003291	0.719116033	1.329060715	BC2_jacea	F2
LH	LH.14	0.328773	0.671227	0.951614	NA	0.204078821	3.987187082	-0.197507213	-0.529547637	BC2_jacea	F2
LH	LH.18	0.377247	0.622753	0.838119	NA	1.648477071	5.883415885	-0.654762693	3.386624848	BC1_jacea	BC1_jacea
LH	LH.19	0.247444	0.752556	0.99998	NA	0.147176623	4.599207911	1.700136367	0.052415115	BC2_jacea	F2
LH	LH.3	0.358923	0.641077	0.921599	1.926666667	0.520281894	6.369678946	-0.061595756	1.56951856	BC2_jacea	F2
LH	LH.4	0.377515	0.622485	0.894659	NA	1.02429011	2.695122364	0.745664364	0.461394173	jacea	F2
LH	LH.5	0.403172	0.596828	0.818127	1.906666667	0.979179112	4.714453357	-1.603947567	2.723319559	BC2_jacea	F2
MC	MC.1	0.240463	0.759537	0.987087	1.923333333	-0.287065081	5.308598317	0.24571313	0.791360326	BC2_jacea	BC1_jacea
MC	MC.10	0.336884	0.663116	0.979853	NA	0.41647037	5.488336901	-1.021962608	0.309498621	BC2_jacea	F2
MC	MC.11	0.336673	0.663327	0.909363	NA	1.062734934	5.124073445	-1.280962269	-3.527774619	BC2_jacea	F2
MC	MC.12	0.336244	0.663756	0.984161	NA	0.061353118	4.452714909	-0.580575376	-0.127840159	BC2_jacea	F2
MC	MC.13	0.336767	0.663233	0.915829	1.91	0.36184345	2.253330096	-0.26361822	-1.80400853	BC2_jacea	F2
MC	MC.14	0.296301	0.703699	0.99998	1.945	-0.060056703	5.720597527	-0.332192674	0.332022	BC2_jacea	BC1_jacea
MC	MC.16	0.262684	0.737316	0.942044	NA	0.184298184	2.876872921	1.134251257	-2.820585694	jacea	F2
MC	MC.18	0.267742	0.732258	0.99998	NA	0.483838401	4.406656659	-0.072648849	-0.480125415	F2	F2
MC	MC.19	0.332284	0.667716	0.99998	NA	0.39022087	4.016137326	-0.669993405	0.199355347	BC2_jacea	F2
MC	MC.2	0.240888	0.759112	0.821412	NA	0.348143921	2.169074491	0.043297099	-6.65604264	BC2_jacea	F2
MC	MC.20	0.366724	0.633276	0.99998	NA	0.627315121	4.965122546	-0.745823805	-0.409771859	BC2_jacea	F2
MC	MC.3	0.233147	0.766853	0.898744	1.893333333	0.762504926	1.450040776	0.509417984	-2.912065075	jacea	F2
MC	MC.5	0.282442	0.717558	0.942446	NA	-0.253727238	3.177978401	-0.621398206	-4.517726382	BC2_jacea	F2
MC	MC.6	0.273979	0.726021	0.903326	NA	-0.13331513	4.207724511	-0.533469264	-0.181737861	jacea	F2
MC	MC.7	0.272054	0.727946	0.99998	1.946666667	-0.277289497	2.985465564	0.434329082	-1.030989026	jacea	BC2_jacea
MC	MC.8	0.203755	0.796245	0.99998	1.926666667	-0.159481783	3.115274822	-0.864676854	-0.648233984	jacea	F2
MP	MP.1	0.687259	0.312741	0.278038	1.956666667	3.939073049	-1.64968608	-0.499313137	-2.830641056	F2	F2
MP	MP.10	0.99999	1.00E-05	0.00001	NA	7.921201671	-3.23110033	-1.802956436	0.592071453	BC2_nigra	nigra
MP	MP.11	0.858244	0.141756	0.115721	NA	3.884912103	-2.419843023	-2.301217008	-2.203462244	F2	BC2_nigra
MP	MP.13	0.759048	0.240952	0.403059	NA	3.221633026	-0.864344043	-2.418707907	-3.925168582	F2	F2
MP	MP.14	0.923825	0.076175	0.00001	2.18	6.036065044	-4.347925041	-3.614887679	-2.631690327	nigra	nigra
MP	MP.15	0.220558	0.779442	0.791087	1.953333333	-1.441719185	3.219039588	0.614471269	-5.368809563	BC2_jacea	BC1_jacea
MP	MP.16	0.628088	0.371912	0.00001	NA	2.632271658	-1.942675974	-0.529930469	-2.158760176	BC2_nigra	F2
MP	MP.17	0.694957	0.305043	0.284706	NA	5.487147465	-2.336101737	-4.258964756	-3.11948851	F2	F2
MP	MP.18	0.745719	0.254281	0.363542	NA	4.226205292	-1.24676155	-1.965831675	-4.149034172	F2	F2
MP	MP.19	0.856596	0.143404	0.112712	NA	4.315286224	-2.606822223	-1.569389928	-2.516413103	BC2_nigra	BC2_nigra
MP	MP.2	0.99999	1.00E-05	0.00001	1.936666667	5.237562949	-2.287020664	-1.570570157	-0.534787941	nigra	nigra
MP	MP.3	0.758958	0.241042	0.284549	NA	4.267760329	-2.011124959	-3.246261286	-3.261596032	F2	BC2_nigra
MP	MP.5	0.99999	1.00E-05	0.00001	1.993333333	4.826249219	-1.860820191	-1.019441696	0.691588655	nigra	nigra
MP	MP.6	0.995824	0.004176	0.00001	1.96	5.707702186	-2.87747978	-2.113451523	-1.650242984	nigra	nigra
MP	MP.7	0.59711	0.40289	0.486872	1.966666667	2.446108679	-0.735057593	-2.07009747	-1.736431785	F2	BC2_nigra
MP	MP.8	0.975789	0.024211	0.00001	NA	6.048708435	-4.434988406	-3.004897312	-2.245458156	nigra	nigra
MP	MP.9	0.892878	0.107122	0.19123	1.94	4.354582224	-2.337972435	-2.189549442	-0.098043379	BC2_nigra	BC2_nigra
PR	PR.10	1.00E-05	0.99999	0.00001	NA	-3.29140272	-2.561923588	-0.342990949	-2.342526406	jacea	jacea
PR	PR.11	0.008641	0.991359	0.11028	1.893333333	-3.137204425	-1.102141603	0.692783637	-0.390991389	jacea	jacea
PR	PR.12	1.00E-05	0.99999	0.00001	1.896666667	-4.679393504	-2.715214883	-0.443380831	0.719252127	jacea	jacea
PR	PR.14	0.122877	0.877123	0.00001	NA	-2.033827172	-1.846538292	1.346012755	0.74123867	BC2_jacea	BC2_jacea
PR	PR.15	0.419586	0.580414	0.025585	NA	0.189116197	-1.298896791	3.510142415	0.647668495	BC2_jacea	F2
PR	PR.16	0.037029	0.962971	0.090432	1.883333333	-5.117877661	-2.313820867	-0.742308261	2.040645182	jacea	jacea
